Year	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
1972	0.03266	0.03509	0.03500	0.03491	0.03226	0.02709	0.02948	0.02941	0.03186	0.03423	0.03667	0.03406
1971	0.05291	0.05000	0.04712	0.04156	0.04404	0.04639	0.04359	0.04615	0.04082	0.03807	0.03283	0.03266
1970	0.06180	0.06145	0.05817	0.06061	0.06044	0.06011	0.05978	0.05405	0.05660	0.05630	0.05600	0.05570
1969	0.04399	0.04678	0.05248	0.05523	0.05507	0.05476	0.05444	0.05714	0.05698	0.05666	0.05932	0.06197
1968	0.03647	0.03951	0.03939	0.03927	0.03916	0.04204	0.04491	0.04478	0.04464	0.04748	0.04734	0.04720
1967	0.03459	0.02812	0.02804	0.02477	0.02786	0.02778	0.02769	0.02446	0.02752	0.02432	0.02736	0.03040
1966	0.01923	0.02564	0.02556	0.02866	0.02866	0.02532	0.02848	0.03481	0.03481	0.03785	0.03785	0.03459
1965	0.00971	0.00971	0.01294	0.01618	0.01618	0.01935	0.01608	0.01935	0.01608	0.01929	0.01603	0.01923
1964	0.01645	0.01645	0.01311	0.01311	0.01311	0.01307	0.01303	0.00977	0.01303	0.00974	0.01299	0.00971
1963	0.01333	0.00997	0.01329	0.00993	0.00993	0.01325	0.01320	0.01320	0.00987	0.01316	0.01316	0.01645
1962	0.00671	0.01007	0.01007	0.01342	0.01342	0.01342	0.01000	0.01338	0.01333	0.01333	0.01333	0.01333
1961	0.01706	0.01361	0.01361	0.01017	0.01017	0.00676	0.01351	0.01014	0.01351	0.00671	0.00671	0.00671
1960	0.01034	0.01730	0.01730	0.01724	0.01724	0.01718	0.01370	0.01370	0.01024	0.01361	0.01361	0.01361
1959	0.01399	0.01049	0.00347	0.00346	0.00346	0.00692	0.00690	0.01038	0.01384	0.01730	0.01379	0.01730
1958	0.03623	0.03249	0.03597	0.03584	0.03214	0.02847	0.02473	0.02120	0.02120	0.02120	0.02113	0.01761
1957	0.02985	0.03358	0.03731	0.03717	0.03704	0.03309	0.03285	0.03663	0.03285	0.02909	0.03273	0.02899
1956	0.00375	0.00375	0.00375	0.00749	0.01124	0.01873	0.02239	0.01866	0.01859	0.02230	0.02230	0.02985
1955	-0.00743	-0.00743	-0.00743	-0.00373	-0.00743	-0.00743	-0.00372	-0.00372	0.00373	0.00373	0.00373	0.00375
1954	0.01128	0.01509	0.01128	0.00752	0.00749	0.00373	0.00373	0.00000	-0.00372	-0.00741	-0.00372	-0.00743
1953	0.00377	0.00760	0.01141	0.00758	0.01136	0.01132	0.00375	0.00749	0.00749	0.01124	0.00749	0.00749
1952	0.04331	0.02335	0.01938	0.02326	0.01931	0.02317	0.03089	0.03089	0.02299	0.01908	0.01136	0.00755
1951	0.08085	0.09362	0.09322	0.09322	0.09283	0.08824	0.07469	0.06584	0.06967	0.06504	0.06883	0.06000
1950	-0.02083	-0.01261	-0.00840	-0.01255	-0.00420	-0.00418	0.01688	0.02101	0.02092	0.03797	0.03782	0.05932
1949	0.01266	0.01277	0.01709	0.00420	-0.00418	-0.00830	-0.02869	-0.02857	-0.02449	-0.02869	-0.01653	-0.02075
1948	0.10233	0.09302	0.06849	0.08676	0.09132	0.09545	0.09910	0.08889	0.06522	0.06087	0.04762	0.02991
1947	0.18132	0.18785	0.19672	0.19022	0.18378	0.17647	0.12121	0.11386	0.12745	0.10577	0.08451	0.08837
1946	0.02247	0.01685	0.02809	0.03371	0.03352	0.03315	0.09392	0.11602	0.12707	0.14917	0.17680	0.18132
1945	0.02299	0.02299	0.02299	0.01714	0.02286	0.02841	0.02260	0.02260	0.02260	0.02260	0.02260	0.02247
1944	0.02959	0.02959	0.01163	0.00575	0.00000	0.00571	0.01724	0.02312	0.01724	0.01724	0.01724	0.02299
1943	0.07643	0.06962	0.07500	0.08075	0.07362	0.07362	0.06098	0.04848	0.05455	0.04192	0.03571	0.02959
1942	0.11348	0.12057	0.12676	0.12587	0.13194	0.10884	0.11565	0.10738	0.09272	0.09150	0.09091	0.09032
1941	0.01439	0.00714	0.01429	0.02143	0.02857	0.04255	0.05000	0.06429	0.07857	0.09286	0.10000	0.09929
1940	-0.00714	0.00719	0.00719	0.01449	0.01449	0.02174	0.01449	0.01449	-0.00709	0.00000	0.00000	0.00714
1939	-0.01408	-0.01418	-0.01418	-0.02817	-0.02128	-0.02128	-0.02128	-0.02128	0.00000	0.00000	0.00000	0.00000
1938	0.00709	0.00000	-0.00704	-0.00699	-0.02083	-0.02083	-0.02759	-0.02759	-0.03425	-0.04110	-0.03448	-0.02778
1937	0.02174	0.02174	0.03650	0.04380	0.05109	0.04348	0.04317	0.03571	0.04286	0.04286	0.03571	0.02857
1936	0.01471	0.00730	0.00000	-0.00725	-0.00725	0.00730	0.01460	0.02190	0.02190	0.02190	0.01449	0.01449
1935	0.03030	0.03008	0.03008	0.03759	0.03759	0.02239	0.02239	0.02239	0.00735	0.01481	0.02222	0.02985
1934	0.02326	0.04724	0.05556	0.05556	0.05556	0.05512	0.02290	0.01515	0.03030	0.02273	0.02273	0.01515
1933	-0.09790	-0.09929	-0.10000	-0.09353	-0.08029	-0.06618	-0.03676	-0.02222	-0.01493	-0.00752	0.00000	0.00763
1932	-0.10063	-0.10191	-0.10256	-0.10323	-0.10458	-0.09934	-0.09934	-0.10596	-0.10667	-0.10738	-0.10204	-0.10274
1931	-0.07018	-0.07647	-0.07692	-0.08824	-0.09467	-0.10119	-0.09036	-0.08485	-0.09639	-0.09697	-0.10366	-0.09317
1930	0.00000	-0.00585	-0.00588	0.00592	-0.00588	-0.01754	-0.04046	-0.04624	-0.04046	-0.04624	-0.05202	-0.06395
1929	-0.01156	0.00000	-0.00585	-0.01170	-0.01163	0.00000	0.01170	0.01170	0.00000	0.00581	0.00581	0.00585
1928	-0.01143	-0.01724	-0.01156	-0.01156	-0.01149	-0.02841	-0.01156	-0.00581	0.00000	-0.01149	-0.00578	-0.01156
1927	-0.02235	-0.02793	-0.02809	-0.03352	-0.02247	-0.00565	-0.01143	-0.01149	-0.01143	-0.01136	-0.02260	-0.02260
